ehdokasnumero,ehdokasnimi,ääniä,vaaliliitto,vaaliliiton id
334,"Vainio, Tomi",24,HYAL Kumpula,13
335,"Velin, Santeri 'TeriSan'",25,HYAL Kumpula,13
336,"Jalo, Mikko",71,HYAL Viikki-Natura,14
337,"Juntti, Venla",12,HYAL Viikki-Natura,14
338,"Juutilainen, Katriina",27,HYAL Viikki-Natura,14
339,"Kaajakari, Emma",48,HYAL Viikki-Natura,14
340,"Lindfors, Leena",28,HYAL Viikki-Natura,14
341,"Ollilainen, Sara",17,HYAL Viikki-Natura,14
342,"Piitulainen, Hanna",34,HYAL Viikki-Natura,14
343,"Ahola, Heidi",14,HYAL Valtsika,15
344,"Alho, Alli",44,HYAL Valtsika,15
345,"Aura, Siiri",2,HYAL Valtsika,15
346,"Hilska, Juuli",21,HYAL Valtsika,15
347,"Jääskeläinen, Timo",20,HYAL Valtsika,15
348,"Luoto, Laura",10,HYAL Valtsika,15
349,"Miettinen, Johanna",8,HYAL Valtsika,15
350,"Oksanen, Joni",35,HYAL Valtsika,15
