ehdokasnumero,ehdokasnimi,ääniä,vaaliliitto,vaaliliiton id
2,"Aho, Tuomas",23,Kokoomuksen opiskelijat,17
3,"Ahsanullah, Tarik",53,Kokoomuksen opiskelijat,17
4,"Aine, Valtteri",4,Kokoomuksen opiskelijat,17
5,"Botty van den Bruele, Adele",10,Kokoomuksen opiskelijat,17
6,"Granlund, Jenni",1,Kokoomuksen opiskelijat,17
7,"Hanhela, Heidi",8,Kokoomuksen opiskelijat,17
8,"Hannuksela, Juho",18,Kokoomuksen opiskelijat,17
9,"Heliste, Petteri",3,Kokoomuksen opiskelijat,17
10,"Hietala, Klaus",10,Kokoomuksen opiskelijat,17
11,"Huttunen, Hilma",19,Kokoomuksen opiskelijat,17
12,"Isoaho, Atte",6,Kokoomuksen opiskelijat,17
13,"Jaatinen, Tatu",7,Kokoomuksen opiskelijat,17
14,"Joensuu, Joakim",11,Kokoomuksen opiskelijat,17
15,"Karhunen, Mikko",25,Kokoomuksen opiskelijat,17
16,"Karjalainen, Topias",3,Kokoomuksen opiskelijat,17
17,"Keski-Luoma, Miika",59,Kokoomuksen opiskelijat,17
18,"Ketola, Lenita",2,Kokoomuksen opiskelijat,17
19,"Kiiskinen, Maria",13,Kokoomuksen opiskelijat,17
20,"Knaapi, Emilia",6,Kokoomuksen opiskelijat,17
21,"Koivuniemi, Wilhelmiina",6,Kokoomuksen opiskelijat,17
22,"Kolinen, Laura",3,Kokoomuksen opiskelijat,17
23,"Kontkin, Henri",9,Kokoomuksen opiskelijat,17
24,"Kupias, Marianna",9,Kokoomuksen opiskelijat,17
25,"Kuutti, Janina",3,Kokoomuksen opiskelijat,17
26,"Kuva, Salla",24,Kokoomuksen opiskelijat,17
27,"Kähkönen, Paavo",10,Kokoomuksen opiskelijat,17
28,"Laitila, Juho",7,Kokoomuksen opiskelijat,17
29,"Lehtinen, Mikko",2,Kokoomuksen opiskelijat,17
30,"Lohi, Santeri",8,Kokoomuksen opiskelijat,17
31,"Mankonen, Juuso",13,Kokoomuksen opiskelijat,17
32,"Meri, Otto",6,Kokoomuksen opiskelijat,17
33,"Mäkelä, Patrik",6,Kokoomuksen opiskelijat,17
34,"Niemi, Vertti",10,Kokoomuksen opiskelijat,17
35,"Nupponen, Konsta",21,Kokoomuksen opiskelijat,17
36,"Nurmela, Jeremias",21,Kokoomuksen opiskelijat,17
37,"Pauna, Ella",7,Kokoomuksen opiskelijat,17
38,"Perälampi, Lasse",4,Kokoomuksen opiskelijat,17
39,"Pirinen, Paula",3,Kokoomuksen opiskelijat,17
40,"Pulliainen, Joonas",35,Kokoomuksen opiskelijat,17
41,"Salomaa, Olli",9,Kokoomuksen opiskelijat,17
42,"Sarvela, Konsta",16,Kokoomuksen opiskelijat,17
